"Nombre
Departamento"	Nombre Municipio
ANTIOQUIA	MEDELLIN
ANTIOQUIA	ABEJORRAL
ANTIOQUIA	ABRIAQUI
ANTIOQUIA	ALEJANDRÍA
ANTIOQUIA	AMAGA
ANTIOQUIA	AMALFI
ANTIOQUIA	ANDES
ANTIOQUIA	ANGELOPOLIS
ANTIOQUIA	ANGOSTURA
ANTIOQUIA	ANORI
ANTIOQUIA	SANTAFE DE ANTIOQUIA
ANTIOQUIA	ANZA
ANTIOQUIA	APARTADO
ANTIOQUIA	ARBOLETES
ANTIOQUIA	ARGELIA
ANTIOQUIA	ARMENIA
ANTIOQUIA	BARBOSA
ANTIOQUIA	BELMIRA
ANTIOQUIA	BELLO
ANTIOQUIA	BETANIA
ANTIOQUIA	BETULIA
ANTIOQUIA	CIUDAD BOLIVAR
ANTIOQUIA	BRICEÑO
ANTIOQUIA	BURITICA
ANTIOQUIA	CACERES
ANTIOQUIA	CAICEDO
ANTIOQUIA	CALDAS
ANTIOQUIA	CAMPAMENTO
ANTIOQUIA	CAÑASGORDAS
ANTIOQUIA	CARACOLI
ANTIOQUIA	CARAMANTA
ANTIOQUIA	CAREPA
ANTIOQUIA	EL CARMEN DE VIBORAL
ANTIOQUIA	CAROLINA
ANTIOQUIA	CAUCASIA
ANTIOQUIA	CHIGORODO
ANTIOQUIA	CISNEROS
ANTIOQUIA	COCORNA
ANTIOQUIA	CONCEPCION
ANTIOQUIA	CONCORDIA
ANTIOQUIA	COPACABANA
ANTIOQUIA	DABEIBA
ANTIOQUIA	DON MATIAS
ANTIOQUIA	EBEJICO
ANTIOQUIA	EL BAGRE
ANTIOQUIA	ENTRERRIOS
ANTIOQUIA	ENVIGADO
ANTIOQUIA	FREDONIA
ANTIOQUIA	FRONTINO
ANTIOQUIA	GIRALDO
ANTIOQUIA	GIRARDOTA
ANTIOQUIA	GOMEZ PLATA
ANTIOQUIA	GRANADA
ANTIOQUIA	GUADALUPE
ANTIOQUIA	GUARNE
ANTIOQUIA	GUATAPE
ANTIOQUIA	HELICONIA
ANTIOQUIA	HISPANIA
ANTIOQUIA	ITAGUI
ANTIOQUIA	ITUANGO
ANTIOQUIA	JARDIN
ANTIOQUIA	JERICO
ANTIOQUIA	LA CEJA
ANTIOQUIA	LA ESTRELLA
ANTIOQUIA	LA PINTADA
ANTIOQUIA	LA UNION
ANTIOQUIA	LIBORINA
ANTIOQUIA	MACEO
ANTIOQUIA	MARINILLA
ANTIOQUIA	MONTEBELLO
ANTIOQUIA	MURINDO
ANTIOQUIA	MUTATA
ANTIOQUIA	NARIÑO
ANTIOQUIA	NECOCLI
ANTIOQUIA	NECHI
ANTIOQUIA	OLAYA
ANTIOQUIA	PEBOL
ANTIOQUIA	PEQUE
ANTIOQUIA	PUEBLORRICO
ANTIOQUIA	PUERTO BERRIO
ANTIOQUIA	PUERTO NARE
ANTIOQUIA	PUERTO TRIUNFO
ANTIOQUIA	REMEDIOS
ANTIOQUIA	RETIRO
ANTIOQUIA	RIONEGRO
ANTIOQUIA	SABANALARGA
ANTIOQUIA	SABANETA
ANTIOQUIA	SALGAR
ANTIOQUIA	SAN ANDRES DE CUERQUIA
ANTIOQUIA	SAN CARLOS
ANTIOQUIA	SAN FRANCISCO
